catalog_event_id,event_date,magnitude,depth_km
201403152050,2014-03-15 06:08:58-07,4.4,67.9
201403152053,2014-03-15 06:33:00-07,3.1,14.6
201403182014,2014-03-18 00:43:22-07,3.2,142.8
201403252050,2014-03-25 15:26:19-07,3.6,15.7
201403292022,2014-03-29 00:19:35-07,3.5,91.2
201404032051,2014-04-03 00:39:06-07,3.4,1
201404032070,2014-04-03 03:15:29-07,3.1,76.9
201404062043,2014-04-06 09:55:04-07,4.4,157.4
201404132129,2014-04-13 08:47:02-07,3.3,58.8
201404162040,2014-04-16 13:24:24-07,5,76.2
201404182058,2014-04-18 11:44:18-07,5.6,23.4
201404182059,2014-04-18 11:52:12-07,3.7,20.2
201404182060,2014-04-18 11:53:04-07,3.8,16.5
201404182062,2014-04-18 11:56:46-07,5.6,11.75
201404182064,2014-04-18 12:00:58-07,3.9,33.01
201404182067,2014-04-18 12:15:11-07,3.2,20
201404182072,2014-04-18 13:11:28-07,3,11.8
201404182074,2014-04-18 13:28:24-07,3.7,18.4
201404182075,2014-04-18 13:34:52-07,3.8,3.6
201404182076,2014-04-18 13:51:38-07,3.2,28.8
201404182080,2014-04-18 14:38:50-07,4.3,15.9
201404182083,2014-04-18 15:40:51-07,3,14.5
201404182084,2014-04-18 15:52:17-07,3,9.9
201404182085,2014-04-18 16:04:05-07,4.3,0.1
201404192015,2014-04-18 23:26:06-07,4,8.2
201404192029,2014-04-19 01:49:01-07,4.6,17.5
201404192032,2014-04-19 04:31:09-07,4.3,27.6
201404192033,2014-04-19 04:31:43-07,4.6,35.83
201404192035,2014-04-19 04:51:50-07,3.8,20.7
201404192036,2014-04-19 04:53:35-07,3.7,21.6
